snid,phase_days,mjd,band,fluxcal,fluxcalerr,snr,mag,magerr,sim_mag
319694,57.97299999999814,56235.145,g,2145.0,40.23,53.3,19.172,0.02,19.203
319694,57.98800000000483,56235.16,r,3529.0,65.68,53.73,18.631,0.02,18.646
319694,58.0,56235.172,i,1897.0,35.46,53.51,19.305,0.021,19.302
319694,58.02300000000105,56235.195,z,3019.0,56.22,53.7,18.8,0.02,18.84
319694,58.98800000000483,56236.16,g,1821.0,34.1,53.4,19.349,0.021,19.299
319694,59.0,56236.172,r,3378.0,62.88,53.72,18.678,0.021,18.666
319694,59.01600000000326,56236.188,i,1901.0,35.5,53.56,19.302,0.02,19.307
319694,59.03500000000349,56236.207,z,3061.0,57.02,53.69,18.785,0.021,18.77
319694,60.004000000000815,56237.176,g,1834.0,34.55,53.07,19.342,0.02,19.39
319694,60.01600000000326,56237.188,r,3399.0,63.3,53.69,18.672,0.02,18.691
319694,60.03500000000349,56237.207,i,1888.0,35.26,53.54,19.31,0.021,19.291
319694,60.065999999998894,56237.238,z,3188.0,59.42,53.66,18.741,0.021,18.736
319694,61.01600000000326,56238.188,g,1657.0,31.23,53.07,19.451,0.02,19.474
319694,61.02700000000186,56238.199,r,3228.0,60.11,53.71,18.728,0.021,18.72
319694,61.04699999999866,56238.219,i,1969.0,36.8,53.51,19.264,0.021,19.257
319694,61.07800000000134,56238.25,z,3175.0,59.25,53.58,18.746,0.021,18.732
319694,66.03100000000268,56243.203,g,1103.0,20.76,53.14,19.893,0.021,19.881
319694,66.03900000000431,56243.211,r,3038.0,56.54,53.73,18.794,0.02,18.835
319694,66.05099999999948,56243.223,i,1920.0,35.79,53.65,19.292,0.02,19.292
319694,66.07800000000134,56243.25,z,5340.0,99.32,53.76,18.181,0.02,18.199
319694,67.00800000000163,56244.18,g,1039.0,19.6,53.02,19.958,0.021,19.958
319694,67.01600000000326,56244.188,r,2751.0,51.22,53.72,18.901,0.021,18.859
319694,67.03100000000268,56244.203,i,1900.0,35.42,53.64,19.303,0.02,19.323
319694,67.05099999999948,56244.223,z,5476.0,101.9,53.77,18.154,0.021,18.134
319694,68.01900000000023,56245.191,g,990.5,19.52,50.76,20.01,0.021,20.033
319694,68.02700000000186,56245.199,r,2889.0,53.77,53.73,18.848,0.02,18.893
319694,68.04699999999866,56245.219,i,1793.0,33.45,53.61,19.366,0.021,19.349
319694,68.07400000000052,56245.246,z,5633.0,104.9,53.68,18.123,0.02,18.125
319694,69.06199999999808,56246.234,g,917.7,17.37,52.82,20.093,0.02,20.108
319694,69.07400000000052,56246.246,r,2597.0,48.5,53.54,18.964,0.021,18.935
319694,69.09000000000378,56246.262,i,1808.0,34.2,52.87,19.357,0.02,19.371
319694,69.11300000000483,56246.285,z,5475.0,102.7,53.33,18.154,0.02,18.169
319694,71.03500000000349,56248.207,g,793.8,15.04,52.78,20.251,0.021,20.237
319694,71.04299999999785,56248.215,r,2440.0,45.44,53.71,19.031,0.02,19.036
319694,71.05800000000454,56248.23,i,1783.0,33.27,53.6,19.372,0.02,19.399
319694,71.07800000000134,56248.25,z,4291.0,79.85,53.73,18.419,0.021,18.4
319694,81.06999999999971,56258.242,g,567.9,13.43,42.28,20.614,0.026,20.6
319694,81.08600000000297,56258.258,r,1462.0,27.58,53.0,19.588,0.021,19.553
319694,81.98800000000483,56259.16,i,1241.0,23.55,52.69,19.766,0.021,19.773
319694,82.00800000000163,56259.18,z,982.5,18.54,53.0,20.019,0.021,19.998
319694,84.04299999999785,56261.215,g,533.7,10.83,49.3,20.682,0.022,20.671
319694,84.05800000000454,56261.23,r,1336.0,24.95,53.55,19.685,0.02,19.69
319694,89.98400000000402,56267.156,i,590.2,11.24,52.53,20.573,0.021,20.559
319694,90.00800000000163,56267.18,z,753.5,14.35,52.49,20.307,0.021,20.295
319694,96.98800000000483,56274.16,g,447.2,8.741,51.16,20.874,0.022,20.851
319694,97.00400000000081,56274.176,r,1055.0,19.71,53.52,19.942,0.02,19.975
319694,98.05099999999948,56275.223,i,582.4,11.28,51.64,20.587,0.022,20.553
319694,99.01900000000023,56276.191,z,764.3,14.63,52.25,20.292,0.021,20.294
319694,104.98800000000483,56282.16,g,453.2,9.263,48.92,20.859,0.023,20.851
319694,105.01200000000244,56282.184,r,1044.0,19.59,53.32,19.953,0.02,19.975
319694,109.98800000000483,56287.16,i,592.0,12.12,48.84,20.569,0.023,20.553
319694,110.01900000000023,56287.191,z,762.3,14.72,51.8,20.295,0.021,20.294
319694,111.86300000000483,56289.035,g,452.8,14.7,30.8,20.86,0.036,20.851
319694,111.87099999999919,56289.043,r,1005.0,19.19,52.37,19.995,0.021,19.975
319694,111.9800000000032,56289.152,i,614.0,12.24,50.15,20.53,0.021,20.553
319694,112.00400000000081,56289.176,z,770.3,15.02,51.3,20.283,0.021,20.294
